detail_sale_id,sale_id,product_id,quantity
1,4224,39,9
2,911,16,3
3,20,51,5
4,3628,22,4
5,1978,3,3
6,631,9,7
7,4322,20,3
8,484,1,7
9,3673,29,3
10,886,21,9
11,1347,48,3
12,274,5,10
13,1313,36,4
14,1221,16,4
15,4427,44,10
16,1908,55,10
17,2914,36,10
18,1108,43,10
19,4453,10,2
20,1612,31,3
21,927,35,8
22,4388,19,6
23,3090,32,6
24,4537,18,8
25,3657,59,4
26,1558,13,4
27,3343,38,9
28,528,30,8
29,2532,41,3
30,3837,44,9
31,820,23,5
32,1922,2,1
33,2859,37,4
34,1714,58,6
35,2080,27,7
36,1205,8,2
37,2961,51,4
38,2928,43,6
39,2757,55,1
40,3373,26,4
41,1991,44,8
42,3865,41,6
43,4352,40,4
44,2376,33,8
45,834,55,10
46,4277,36,5
47,1647,52,7
48,730,46,7
49,4138,3,8
50,2826,48,10
51,2966,38,1
52,2502,25,2
53,1986,40,3
54,3203,10,3
55,1194,47,3
56,4410,55,4
57,841,31,5
58,160,32,4
59,1989,21,6
60,1200,24,8
61,1737,50,8
62,1059,14,2
63,1126,27,7
64,2462,14,3
65,4714,23,1
66,3053,38,2
67,404,52,3
68,1575,23,5
69,2226,47,8
70,2913,52,8
71,2027,54,6
72,1036,26,6
73,4016,6,1
74,914,28,3
75,588,22,9
76,4532,7,2
77,894,10,8
78,3986,6,5
79,3277,49,9
80,1544,17,7
81,3778,27,3
82,3540,55,3
83,1981,35,1
84,2328,4,1
85,604,45,9
86,407,50,6
87,3304,37,10
88,2127,16,3
89,1835,52,7
90,779,11,5
91,520,12,6
92,4921,50,2
93,3099,50,10
94,2092,33,8
95,1943,24,4
96,584,28,3
97,931,30,1
98,3633,10,4
99,1269,3,6
100,2993,5,7
101,4546,37,8
102,392,8,8
103,4668,2,3
104,1288,53,4
105,190,32,8
106,2791,32,3
107,4895,7,2
108,421,17,1
109,2294,8,9
110,879,50,10
111,4209,23,2
112,3834,54,3
113,3582,22,9
114,1218,40,4
115,4960,35,2
116,1755,2,10
117,1790,32,8
118,1071,54,10
119,4710,5,3
120,3937,14,4
121,946,11,9
122,3973,48,3
123,2397,54,8
124,4939,3,4
125,830,40,1
126,2784,9,7
127,3301,28,5
128,1630,52,2
129,1511,3,4
130,4042,53,4
131,4620,4,9
132,3003,53,2
133,3651,57,7
134,438,14,3
135,560,23,2
136,1279,43,6
137,1402,8,6
138,807,12,4
139,4630,56,9
140,1546,19,3
141,366,17,4
142,3846,18,4
143,874,22,9
144,858,60,8
145,383,60,7
146,295,59,4
147,3550,22,10
148,2307,14,9
149,4332,38,3
150,4741,33,9
151,3120,11,3
152,4943,39,8
153,4954,19,7
154,1793,5,5
155,3634,52,7
156,3666,20,3
157,1336,11,8
158,290,37,7
159,2751,23,2
160,1966,48,3
161,2460,60,7
162,240,25,5
163,3295,21,5
164,3259,38,8
165,4478,55,4
166,3194,28,3
167,2828,46,10
168,4667,34,3
169,486,37,9
170,238,46,6
171,2371,27,1
172,3072,35,8
173,3098,32,9
174,3209,34,7
175,3231,50,8
176,1661,56,7
177,2617,13,1
178,2224,4,2
179,584,60,1
180,3717,26,2
181,382,3,2
182,2896,25,5
183,454,7,5
184,3404,32,8
185,1013,19,1
186,4079,58,1
187,1848,41,4
188,4600,50,6
189,4140,3,3
190,1809,58,10
191,2156,30,3
192,663,41,4
193,3328,28,7
194,4754,17,10
195,4007,19,7
196,2702,21,2
197,3518,23,5
198,2534,1,2
199,1814,20,8
200,1334,37,4
201,1802,7,2
202,4081,14,10
203,559,59,8
204,4827,27,9
205,3354,2,1
206,3412,28,10
207,945,20,8
208,4257,60,5
209,4321,32,4
210,1288,37,4
211,3617,33,2
212,2010,30,10
213,703,36,9
214,3835,57,2
215,2034,52,5
216,1475,7,3
217,56,43,5
218,533,41,10
219,1925,35,9
220,316,40,10
221,3286,1,9
222,2620,37,5
223,1423,16,5
224,156,40,7
225,3875,12,8
226,2944,34,2
227,3616,32,6
228,2721,53,8
229,3640,35,8
230,2294,19,3
231,3167,20,5
232,4007,58,2
233,333,22,7
234,2372,46,2
235,35,34,5
236,2044,12,10
237,1092,19,7
238,1326,29,7
239,2575,32,4
240,3030,12,10
241,7,25,1
242,1026,7,9
243,4578,48,6
244,4502,4,6
245,1790,15,2
246,1557,59,9
247,2572,55,5
248,750,16,1
249,1249,1,1
250,2444,30,3
251,4536,41,6
252,3649,15,7
253,535,26,6
254,224,39,5
255,4524,36,7
256,3379,25,1
257,3705,6,7
258,4295,60,3
259,2842,2,5
260,1142,45,7
261,1295,56,5
262,3047,9,4
263,3202,60,5
264,1014,47,2
265,4749,52,8
266,4719,11,10
267,485,36,6
268,3849,18,8
269,1722,51,10
270,1090,21,9
271,1715,21,1
272,3366,1,3
273,1868,22,8
274,1588,41,1
275,1234,18,3
276,998,26,6
277,1669,4,2
278,4784,14,1
279,4589,37,6
280,2096,7,9
281,1516,43,8
282,61,32,2
283,3583,33,1
284,2174,40,7
285,4407,46,10
286,32,43,3
287,3817,50,4
288,3412,24,5
289,1784,31,10
290,1314,29,4
291,3882,54,7
292,789,7,4
293,3228,39,3
294,3202,12,10
295,4780,56,8
296,2285,5,8
297,932,26,8
298,1519,30,9
299,1003,57,3
300,1220,5,3
301,384,6,3
302,72,25,10
303,2929,51,3
304,3392,21,3
305,3071,38,9
306,787,52,6
307,2568,26,8
308,4582,3,10
309,2056,44,7
310,1060,30,10
311,4602,17,8
312,4169,26,5
313,1130,45,4
314,3083,18,3
315,130,21,2
316,898,24,5
317,3096,58,5
318,3835,19,7
319,3963,15,7
320,4698,51,2
321,3748,30,4
322,770,40,6
323,2207,3,8
324,4141,55,4
325,3653,24,10
326,3052,59,1
327,2146,48,10
328,4287,25,2
329,1918,27,5
330,2686,35,6
331,4434,26,10
332,2104,28,9
333,1305,42,7
334,1490,7,8
335,1060,25,6
336,2704,60,9
337,1851,42,7
338,2656,51,8
339,172,59,2
340,773,32,1
341,425,4,7
342,4399,52,8
343,4783,33,1
344,1579,1,5
345,3044,30,10
346,1922,26,2
347,996,11,3
348,4741,31,8
349,2344,40,1
350,3675,57,6
351,4209,37,4
352,4819,54,4
353,1485,11,2
354,2647,20,1
355,943,27,1
356,2549,4,1
357,1665,38,2
358,3788,15,5
359,1212,12,5
360,923,13,5
361,2310,32,3
362,1046,40,6
363,1802,37,4
364,760,27,4
365,1313,39,4
366,4510,29,6
367,3959,15,4
368,4842,15,6
369,1941,24,6
370,1082,55,8
371,784,41,2
372,1727,16,2
373,4615,5,1
374,4482,27,2
375,2776,24,1
376,2499,60,2
377,3027,4,10
378,1959,58,3
379,2032,35,5
380,3723,25,2
381,2324,26,10
382,3654,19,3
383,302,18,2
384,3909,33,1
385,2668,57,2
386,3677,9,10
