sale_id,employee_id,location_id,customer_id,date_sale
1,19,4,0,2023-01-08
2,9,2,673,2023-04-29
3,9,1,0,2023-04-10
4,6,2,0,2023-01-11
5,16,1,0,2024-04-27
6,8,3,0,2024-02-11
7,8,1,0,2024-06-03
8,18,4,0,2023-03-31
9,20,4,0,2024-05-14
10,7,2,0,2023-07-04
11,11,5,0,2023-04-10
12,9,3,0,2023-12-04
13,14,2,547,2024-04-09
14,8,3,0,2023-08-16
15,8,4,0,2023-08-12
16,11,1,0,2024-06-13
17,18,3,1249,2023-02-05
18,19,5,1817,2023-03-22
19,12,3,0,2023-05-06
20,10,2,0,2023-06-13
21,8,4,0,2023-06-01
22,6,5,0,2023-11-16
23,12,2,670,2024-02-27
24,20,5,1895,2023-02-06
25,15,3,0,2023-04-07
26,11,3,1141,2023-04-27
27,19,4,0,2024-03-10
28,15,5,0,2024-01-10
29,18,4,0,2023-05-05
30,15,2,0,2024-02-23
31,14,5,0,2023-04-11
32,20,3,314,2023-03-29
33,11,5,0,2024-05-20
34,6,2,1942,2024-04-01
35,18,4,0,2024-06-11
36,14,2,854,2023-10-20
37,7,4,599,2024-01-16
38,19,5,510,2023-05-15
39,17,4,684,2023-04-17
40,13,5,0,2023-09-07
41,12,5,185,2023-04-13
42,16,4,692,2023-09-01
43,11,1,0,2023-02-25
44,17,1,1779,2023-08-26
45,10,3,1964,2023-09-15
46,18,2,1020,2023-12-31
47,16,4,0,2023-07-19
48,19,2,1315,2023-08-27
49,20,5,0,2023-01-04
50,13,4,0,2023-01-25
51,9,4,674,2024-05-12
52,14,3,0,2024-04-02
53,13,3,428,2024-04-23
54,17,3,0,2024-01-11
55,13,1,1013,2023-04-06
56,20,5,872,2024-04-12
57,15,2,0,2024-01-17
58,8,5,0,2024-04-13
59,8,3,490,2023-02-07
60,18,5,0,2023-04-08
61,10,1,1159,2024-06-10
62,17,1,1600,2024-06-03
63,6,1,1176,2023-06-20
64,10,3,0,2023-06-17
65,9,2,0,2024-02-06
